id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
optimism,0.704378,1232183266,-0.70311,0.738792,0.703131,4.84,0.402159,29-08-2025 13:16:00
pyth-network,0.211784,1216117659,80.48405,0.243889,0.116989,1.2,0.081442,29-08-2025 13:16:00
paypal-usd,0.99933,1190177599,-0.07891,1.0,0.999072,1.021,0.959426,29-08-2025 13:16:00
wbnb,861.16,1173708780,-0.90488,879.02,858.37,899.71,23.6,29-08-2025 13:16:00
first-digital-usd,0.99784,1164016113,0.04403,0.999717,0.99343,1.15,0.940377,29-08-2025 13:16:00
pump-fun,0.00327636,1158867014,2.0825,0.00353462,0.00311913,0.00681162,0.00228323,29-08-2025 13:16:00
blockstack,0.636156,1141567776,-1.91997,0.663735,0.635179,3.86,0.04559639,29-08-2025 13:16:00
lido-dao,1.22,1090003057,-4.33074,1.29,1.22,7.3,0.40615,29-08-2025 13:16:00
curve-dao-token,0.771649,1074583333,-5.74412,0.824466,0.770659,15.37,0.180354,29-08-2025 13:16:00
spx6900,1.15,1071546603,-8.66863,1.28,1.15,2.27,0.00131808,29-08-2025 13:16:00
binance-bridged-usdc-bnb-smart-chain,1.001,1047785492,0.19366,1.012,0.998049,1.031,0.942892,29-08-2025 13:16:00
aerodrome-finance,1.17,1041900663,-7.58917,1.29,1.17,2.32,1.861e-05,29-08-2025 13:16:00
solv-btc,110306.0,1037655691,-2.13342,113401.0,109918.0,123975.0,49058.0,29-08-2025 13:16:00
sonic-3,0.320666,1033238016,1.10937,0.331957,0.317147,1.029,0.250194,29-08-2025 13:16:00
immutable-x,0.531593,1017031226,-2.43599,0.564825,0.529848,9.52,0.343711,29-08-2025 13:16:00
super-oeth,4387.51,980306058,-4.02332,4621.22,4382.97,4954.12,1312.97,29-08-2025 13:16:00
raydium,3.63,969371021,-4.51366,3.97,3.62,16.83,0.134391,29-08-2025 13:16:00
syrupusdc,1.12,965929944,0.01944,1.12,1.12,1.14,1.055,29-08-2025 13:16:00
msol,275.72,961106724,-0.8219,287.37,274.2,363.77,8.93,29-08-2025 13:16:00
pax-gold,3410.69,960975105,0.65099,3422.07,3388.33,3518.57,1399.64,29-08-2025 13:16:00
the-graph,0.089611,935965538,-1.95822,0.093821,0.089434,2.84,0.052051,29-08-2025 13:16:00
conflux-token,0.180817,923562822,3.56693,0.198248,0.17459,1.7,0.02199898,29-08-2025 13:16:00
